_id,_source/name,_source/covered_area,_source/lease_duration_expected,_source/location/lat,_source/location/lon,_source/lock_in_period,_source/maintenance_charges,_source/no_of_balconies,_source/no_of_barooms,_source/plot_area,_source/rent_expected,_source/security_deposit,_source/type_of_accomodation,_source/total_floors,_source/floor,_source/servant_room,_source/servant_room_wi_toilet
d9c1781a-f7cb-bad4-f919-565d699cd472,RG-0000000215,1700,24,28.544715,77.228448,12,0,2,3,2385,80000,240000,3,2,1,1,1
31c8d0a3-71fe-2216-91eb-56740c18021b,RG-0000000501,575,12,28.563763,77.23695,12,0,2,1,1125,17000,17000,1,2,2,0,0
4c07cde8-9847-cf11-19e9-567fa958638b,RG-0000000637,1800,24,28.56702,77.231246,12,0,3,4,2925,230000,460000,3,3,3,1,1
e03481d5-cb76-55a3-9767-568b779c273f,RG-0000000716,1600,36,28.551203,77.204838,24,0,2,3,2000,65000,130000,3,2,1,1,1
5112354a-fbfb-c87a-c8d6-565d3d7e3b1c,RG-0000000210,2200,36,28.578814,77.16424,12,10000,4,4,3465,200000,400000,4,3,3,0,0
a611067d-d695-e3e5-c0f7-568cdfaa559e,RG-0000000735,2800,24,28.574402,77.163332,12,15000,4,6,9000,365000,950000,4,3,1,1,1
44f4695f-5854-4fc1-b3c8-56925106a3b4,RG-0000000796,1400,24,28.581412,77.164447,12,0,2,3,2250,90000,180000,2,2,1,1,1
5688ff0c-9597-be54-7176-56910d42d82c,RG-0000000785,2000,24,28.57424,77.162815,12,2000,3,4,3600,150000,300000,4,2,1,1,1
b8799613-a6b9-2c2d-36ea-568f7a5017a8,RG-0000000762,2200,24,28.578277,77.16379,12,15000,1,4,3420,250000,500000,3,2,2,1,1
1e59e1b8-3bc2-a0aa-50d4-569caf18cb13,RG-0000000879,2200,36,28.574915,77.233541,12,0,1,3,2925,120000,240000,3,2,1,1,1
345dd4f1-a73c-2bed-62b4-56a2207697af,RG-0000000914,2000,36,28.556716,77.233832,12,10000,2,4,2700,85000,170000,4,3,2,1,1
2d57c24a-d2ec-6cb0-d006-56938ced8af0,RG-0000000804,1500,36,28.580784,77.165062,12,0,1,3,1800,70000,140000,3,2,1,0,0
96fe687d-6af0-1bf6-ec05-5694fad61319,RG-0000000816,700,24,28.593188,77.33489,12,0,2,2,1008,10500,10500,2,2,2,0,0
201800ed-87e2-9ac5-5c5f-56961ee30a90,RG-0000000820,1500,24,28.577379,77.232228,12,1000,2,3,1953,110000,220000,3,3,1,0,0
7fa5a044-71eb-f2e2-02ad-569b3d153181,RG-0000000866,1600,36,28.551664,77.357765,12,0,3,3,2675,24000,48000,3,2,1,1,1
