,_id,_source.covered_area,_source.floor,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.servant_room,_source.servant_room_with_toilet,_source.total_floors,_source.type_of_accomodation
153,5952591e-437f-c74e-becd-566eb44ab6c6,4300,0,24,28.557589,77.240567,12,0,4,7,3303,200000,600000.0,1,1,2.0,6
154,5b0d63ec-6c41-89b0-2f2f-5706427e675b,3000,0,24,28.57949,77.169421,12,0,0,4,5400,300000,600000.0,1,1,3.0,2
155,83a71bd7-1847-556b-5cb0-56e953ea3230,3200,0,24,28.65521,77.121763,12,0,0,4,5400,250000,500000.0,1,1,2.0,4
156,84622c61-be7a-46dd-8a59-56c5d01827fe,3000,0,24,28.533694,77.247075,12,0,0,4,2925,225000,500000.0,1,1,1.0,4
157,5112354a-fbfb-c87a-c8d6-565d3d7e3b1c,2200,3,36,28.578814,77.16424,12,10000,4,4,3465,200000,400000.0,0,0,3.0,4
158,bd80f261-6220-208b-2331-566967c35ccf,2100,3,36,28.543877,77.293639,24,6000,2,4,2700,100000,300000.0,1,1,3.0,3
159,70574244-5c8d-ec32-3085-56e4066b6659,2800,2,36,28.566603,77.220133,12,0,1,4,4500,150000,300000.0,1,1,3.0,4
160,f307d0e5-e1c2-9d2f-e8d9-56e3e744e131,3000,1,36,28.568069,77.222205,12,0,3,4,6000,150000,300000.0,1,1,1.0,4
161,debf3a13-3a06-d631-f5a1-56e117363aef,2400,2,24,28.563315,77.165072,12,0,4,5,5740,200000,400000.0,1,1,2.0,4
162,f016346d-fa83-f1ba-5968-56fa2901d9c2,2800,2,24,28.56164,77.155884,12,0,3,5,10800,350000,700000.0,1,1,3.0,4
163,54facf22-a08f-8c72-6f8f-56e158f3dc05,2800,1,24,28.566137,77.196559,12,0,3,3,4500,120000,240000.0,1,1,2.0,3
