0,18652885-f1f4-4464-a20e-566301c73420
1,16ef1b28-67b3-eb98-ae66-5679580ac934
2,1b4d7262-d47f-963e-340b-564f129ef0fc
3,1bc1aa7b-ea59-346a-1869-5698e4bb4aec
4,1f31ea3c-6784-aa7b-a233-56922dd470ed
5,1cc9f4a9-4b8c-19b9-2570-56828503c6e2
6,25c3d734-06af-35aa-2318-568e04ea7cbd
7,22ad21ed-63ff-9a90-3d63-5677f736fe45
8,25dd9495-4966-71be-248f-567fb670d849
9,240698e8-4b96-5f2c-73cc-5672b64588f3
10,249ccab9-5069-ec83-3b7a-56767aba468f
11,2817cb08-3bd2-ab40-5095-56827f10052b
12,2a20cb51-e6ae-4035-46a9-569b5c3b9ae0
13,34f6e52f-8c50-3fa7-813c-568e011bb307
14,44fa0493-24b9-c904-64e9-56922c3b0c7b
15,43214bf4-8b44-6661-3a5a-5652c09cc908
16,3fc7f35d-2c63-0562-a081-5682812f83fc
17,54334e4b-d8d5-32ca-25f5-56a9b5e6baff
18,4505ca01-bf61-3425-1d94-567bafbc5f8c
19,ba68c52c-0b85-9018-762e-5672b3e47e42
20,bd4f08f0-bb69-fe6a-0fd7-5657068a6f8b
21,bee34b06-65a1-5330-d59e-56790d98c809
22,c4ad767c-f21d-2489-f7f2-568bca9ed047
23,c594852d-7259-69fe-696c-56530b3177bd
24,6f582e0a-d5f2-58a2-8e0b-56891e292b77
25,70a8c43c-fcba-6483-1078-568cc38258e8
26,719eec77-9094-1c99-63c3-566bb78a893a
27,71b73974-47c8-17b6-7769-5697929eac4d
28,770c8e9c-878e-eccd-f883-56a35c97457f
29,7a72e785-cc54-1e4b-d5ea-5685023dc748
30,97aa4d7a-3e95-cba5-de49-5660480730c5
31,9c5385ee-1f05-a79c-4634-5669610ca529
32,9d898835-ebf3-324a-0d21-56826dc9b8b8
33,5c6d45a3-3a28-2c40-490f-568b8feb0df6
34,5f8f1d39-c5b9-6921-8749-569a039aeaad
35,60ef02ed-1a9b-1036-67a3-564851287ac4
