,pid,name,covered_area,lease_duration_expected,lat,lon,lock_in_period,maintenance_charges,no_of_balconies,no_of_bathrooms,plot_area,rent_expected,security_deposit,type_of_accomodation,total_floors,floor,servant_room,servant_room_with_toilet
47,5952591e-437f-c74e-becd-566eb44ab6c6,RG-0000000440,4300,24,28.557589,77.240567,12,0,4,7,3303,200000,600000,6,2,0,1,1
485,8429a801-84c1-5d62-8aea-568e2bf6f789,RG-0000000753,5000,36,28.529819,77.203547,24,0,7,7,3150,250000,500000,8,2,0,1,1
