,pid,name,covered_area,lease_duration_expected,lat,lon,lock_in_period,maintenance_charges,no_of_balconies,no_of_bathrooms,plot_area,rent_expected,security_deposit,type_of_accomodation,total_floors,floor,servant_room,servant_room_with_toilet
206,29488385-db38-47f1-d06e-568e03d96905,RG-0000000748,1600,24,28.629714,77.216029,12,0,2,3,2000,210000,630000,3,3,2,0,0
335,526793ea-b5b4-c427-7b26-568e0241dd16,RG-0000000747,1600,24,28.629714,77.216029,12,0,2,3,2000,210000,630000,3,3,3,0,0
456,67827e3d-7939-dcdb-d38e-568e0278638c,RG-0000000746,1400,24,28.574348,77.229363,12,0,1,2,2097,150000,450000,2,3,2,0,0
537,e92f3671-aa9a-c602-f395-5694ace5f61e,RG-0000000809,2000,24,28.579885,77.166603,12,0,2,4,2925,250000,750000,3,3,3,0,0
