0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
0.0,1bc1aa7b-ea59-346a-1869-5698e4bb4aec,propertydata,1.0,No,0.0,,0.0,0,,0.0,Red Girraffe,1.0,0.0,2016-01-15 12:22:56,2016-01-15 12:48:29,0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,484c8f40-2b8a-ec96-4fde-5698e431ed58,0.0,,0,1.0,0.0,0.0,Red Girraffe,0,RG-0000000846,,,,,,,,,,,,1.0,^reserved^,0,0.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pending,,2016-01-08,24 Hours (Between 09:00 to 19:00),pending,NeW Delhi,pending,1500.0,,INR,,2016-01-15 12:22:56,2016-02-01 08:28:29,0.0,"Newly constructed, First floor with lift, 3 bedroom Builder Flat with 3 bathrooms and 2 balconies is available for rent in Uday Park. This unfurnished property includes cupboards, gas stove, geysers, gas pipeline, power backup and reserved parking space. It comes with a servants room with attached bathroom.",,Red Girraffe,2016-01-15 12:22:56,2016-01-29 07:38:57,0,,,,,,,,,,,,3464457b-b7f6-69cd-6d3b-5698e4eb2d71,Red Girraffe,RG-0000000846,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -1 Drawing cum Dining room.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -10 Bed room -3.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -11 Passage.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -2 Drawing cum Dining room.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -3 Kitchen.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -4 Bed room -1.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -5 Bed room -1.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -5 Bed room -2.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -6 Bath room -1.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -7 Bed room -2.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -8 Bed room -2.jpg,https://storage.googleapis.com/rglistcdn/08Jan 2016/RG-0000000764A/RG-0000000764A -9 Bed room -3.jpg,,,,,,,,,,,,,,,,,,,pending,,1st,"^marble^,^wooden^",1bc1aa7b-ea59-346a-1869-5698e4bb4aec,,36.0,^^,^any^,Uday Park,28.56027,77.219244,12.0,0.0,,RG-0000000846,2.0,3.0,0,,110049,1953.0,2016-02-1,No,,,"Newly Constructed, Well Maintained, 3BHK, 1500 Sq.Ft, First Floor with lift, Builder Flat, Available for Rent in Uday Park.",builder_floor,0,,,,1) Three Bedrooms attach bathrooms 2) Brand new Unfurnished property 3)With Power Backup,100000.0,200000.0,,1,1,,approved,Any,,3,3bhk,sqft,sqft,,0_2,listings
0.0,25c3d734-06af-35aa-2318-568e04ea7cbd,propertydata,1.0,No,1.0,,1.0,0,,0.0,Red Girraffe,1.0,1.0,2016-01-07 06:25:11,2016-01-07 07:49:36,0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5161c514-5ca8-dce9-07c9-568e04ee9e1d,1.0,,0,1.0,0.0,1.0,Red Girraffe,0,RG-0000000749,,,,,,,,,,,,1.0,^open^,0,0.0,0.0,,1.0,24,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pending,,2016-01-04,10:00 to 17:00,pending,New Delhi,pending,1600.0,,INR,,2016-01-07 06:25:11,2016-02-01 08:28:35,0.0,"A Fully Furnished, Recently constructed, first floor, 3 bedroom Service Apartment with lift, 3 bathrooms and 2 balconies is available for rent in Connaught Place. Also included are are beds, TVs, ACs, fridge, washing machine,invereter,curtains,cupboards,sofa, diniing table microwave, wi-fi,water purifier,gas stove,geysers, 24H security and ample parking.",,Red Girraffe,2016-01-07 06:25:11,2016-01-07 19:00:46,0,,,,,,,,,,,,3d08ada8-1392-7c9b-60f3-568e04be0259,Red Girraffe,RG-0000000749,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-1 Drawing room.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-10 Bath room -2.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-11 Bed room -3.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-12 Bed room -3.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-13 Bed room -3.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-14 Bath room -3.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-2 kitchen.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-3 Passage.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-4 Bed room -1.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-5 Bed room -1.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-6 Bed room -1.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-7 Bath room -1.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-8 Bed room -2.jpg,https://storage.googleapis.com/rglistcdn/04Jan 2016/RG0000000613E/RG0000000613E-9 Bed room -2.jpg,,,,,,,,,,,,,,,,,pending,,1st,^wooden^,25c3d734-06af-35aa-2318-568e04ea7cbd,,24.0,^^,^any^,Connaught Place,28.629714,77.216029,12.0,0.0,,RG-0000000749,2.0,3.0,0,,110001,2000.0,2016-02-1,No,,,"Recently Constructed,Fully Furnished, 3BHK, 1600 Sq.Ft, First Floor, Service Apartment with Lift, Available for Rent in Connaught Place.",service_aptt,0,,,,"1) Three Bed Rooms with attach
Bath Rooms 2) Fully furnished Property and 3) 4 ACs installed with Inverter 4)All service is available on demand",210000.0,630000.0,,0,0,,approved,Any,,3,3bhk,sqft,sqft,,2_5,listings
0.0,62688d55-30c3-de63-b731-563b52af56b1,propertydata,1.0,,0.0,,0.0,0,,0.0,Administrator,0.0,0.0,05/11/2015 18:30,13/11/2015 19:57,0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,198f5149-085d-2dcb-bc3d-563b528bd398,0.0,,1,0.0,1.0,0.0,Administrator,0,RG-0000000011,,,,,,,,,,,,1.0,reserved,0,0.0,0.0,,1.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pending,,2015-11-06,10:00 to 17:00,pending,New Delhi,pending,3200.0,,INR,No,2015-11-05 13:00:09,2016-04-08 08:29:22,0.0,"A recently renovated, 4 BHK builder floor is available for rent in New Friends Colony. It comes with a reserved parking space, piped gas, complete wood work and marble flooring. With 4 attached bathrooms, this ready to move in apartment is just waiting for the right tenant.",,Administrator,05/11/2015 18:30,08/04/2016 13:39,0,,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,d44b0ba2-1064-6b0c-b312-563b524529be,Administrator,RG-0000000011,,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%2010%20Drawing%20Room%20View%204.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%2011%20Front%20Balcony%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%2012%20Front%20Balcony%20View%202.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%2013%20%20First%20Bedroom%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%2014%20%20First%20Bed%20Room%20View%202.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%2015%20%20Second%20Bedroom%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%2016%20%20Third%20Bed%20Room%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%2017%20%20Fourth%20Bed%20Room%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%2018%20%20Fourth%20Bed%20Room%20View%202.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%202%20Stair%20Case.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%204%20Lobby.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%205%20Kitchen%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%206%20%20Kitchen%20View%202.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%207%20Drawing%20Room%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%208%20Drawing%20Room%20View%202.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG-0000000011-%209%20Drawing%20Room%20View%203.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG0000000013%20-%2019%20%20Bathroom%201%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG0000000013%20-%2020%20%20Bathroom%201%20View%202.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG0000000013%20-%2021%20Bathroom%202%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG0000000013%20-%2022%20Bathroom%202%20View%202.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG0000000013%20-%2023%20Bathroom%203%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG0000000013%20-%2024%20Bathroom%203%20View%202.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG0000000013%20-%2025%20Bathroom%204%20View%201.jpg,https://storage.googleapis.com/rglistcdn/RG-0000000011/RG0000000013%20-%2026%20Bathroom%204%20View%202.jpg,http://,http://,http://,http://,http://,pending,,1st,marble,62688d55-30c3-de63-b731-563b52af56b1,,24.0,,any,New Friends Colony,28.570591,77.270294,12.0,6000.0,,RG-0000000011,1.0,4.0,0,monthly,110065,4500.0,,,,,"4BHK, 3200 Sq Feet Builder Floor Available for Rent in New Friends Colony",builder_floor,0,,,,"Recently renovated, personal parking, ",70000.0,140000.0,,1,1,,approved,Any,,3,4bhk,sqft,sqft,0.0,10_,listings
0.0,89231f12-449c-b6bf-b1e9-56eba3c4c8cd,propertydata,1.0,no,0.0,,0.0,0,,0.0,Red Girraffe,0.0,0.0,2016-03-18 06:44:38,2016-03-18 07:33:29,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,b9606919-5941-d352-5659-56eba3337a49,0.0,,0,0.0,0.0,0.0,Administrator,0,RG-0000001408,,,,,,,,,,,,1.0,^^,0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pending,,,10:00 to 18:00,pending,New Delhi,pending,1800.0,,INR,Yes,2016-03-18 06:44:38,2016-05-20 06:12:43,0.0,Well maintained ground floor 3 bedroom builder flat with a lift 3 bathrooms and 1 balcony is available for rent in Defence Colony. This property includes geysers and a parking space. Also included is a servant room with attached bathroom. ,,Red Girraffe,2016-03-18 06:44:38,2016-04-19 05:24:01,0,,,,,,,,,,,,a19d0b4c-323f-9d14-d8be-56eba3c24737,Red Girraffe,RG-0000001408,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408/RG-0000001408 -01 Drawing room.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408/RG-0000001408 -02 Bed room -1.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408/RG-0000001408 -03 Bath room-1.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408/RG-0000001408 -05 Bed room-2.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408/RG-0000001408 -06 Bath room-2.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408/RG-0000001408 -07 Bed room-3.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408/RG-0000001408 -08 Bed room-3.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408/RG-0000001408 -09 Bath room-3.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408/RG-0000001408 -10 Kitchen.jpg,,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/:,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/RG-0000001408A -01 Drawing room.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/RG-0000001408A -02 Bed room -1.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/RG-0000001408A -03 Bath room-1.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/RG-0000001408A -05 Bed room-2.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/RG-0000001408A -06 Bath room-2.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/RG-0000001408A -07 Bed room-3.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/RG-0000001408A -08 Bed room-3.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/RG-0000001408A -09 Bath room-3.jpg,https://storage.googleapis.com/rglistcdn/18 March/RG-0000001408A/RG-0000001408A -10 Kitchen.jpg,,,,,,,,,,,pending,,Ground,marble,89231f12-449c-b6bf-b1e9-56eba3c4c8cd,,24.0,individual_working,personal_lease,Defence Colony,28.5701363,77.2273532,12.0,0.0,,RG-0000001408,1.0,3.0,0,,110024,2925.0,,Yes,,N,"Well Maintained 3BHK, 1800 Sq.Ft, Ground Floor Builder Flat With Lift, Available for Rent in Defence Colony.",builder_floor,0,,LISTING_WITH_SIGNUP,,,85000.0,170000.0,,1,1,,approved,,,2,3bhk,sqft,sqft,0.0,10_,listings
0.0,95320d88-4b23-7ca2-1338-5703bcb46d53,propertydata,1.0,yes,1.0,,1.0,0,,0.0,Red Girraffe,1.0,1.0,2016-04-05 13:24:23,2016-04-08 10:48:21,0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4e587e15-3815-cee2-7f31-5703bc44bce6,0.0,,0,1.0,1.0,1.0,Administrator,0,RG-0000001522,,,,,,,,,,,,1.0,^reserved^,0,0.0,1.0,full,1.0,12,1.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pending,,2016-04-08,10:00 to 18:00,pending,New Delhi,pending,2250.0,,INR,Yes,2016-04-05 13:24:23,2016-05-20 06:12:51,0.0,"Recently constructed first floor 4 bedroom builder flat with a lift 6 bathrooms and 4 balconies is available for rent in New Friends Colony. This property includes ACs, cupboards, geysers, power backup, piped gas, security and a reserved parking space. Also included is a servant room with attached bathroom. ",,Red Girraffe,2016-04-05 13:24:23,2016-04-19 05:24:05,0,,,,,,,,,,,,2d9e5956-f9d1-9e78-0584-5703bc6876b0,Red Girraffe,RG-0000001522,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -01 Drawing room.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -02 Kitchen.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -03 Dining area.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -04 Dining area.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -05 TV room.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -06 Bed room -1.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -07 Bed room -1.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -08 Bath room -1.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -09 Bed room -2.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -10 Bed room -2.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -11 Bed room -2.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -12 Bath room -2.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -13 Passage.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -14 Bed room -3.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -15 Bed room -3.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -16 Bathroom -3.jpg,https://storage.googleapis.com/rglistcdn/08 April/RG-0000001522/RG-0000001522 -17 Bath room -3.jpg,,,,,,,,,,,,,,pending,,1st,marble wooden,95320d88-4b23-7ca2-1338-5703bcb46d53,,24.0,individual_working,personal_lease,New Friends Colony,28.5593566,77.320205,12.0,8000.0,,RG-0000001522,4.0,5.0,0,,110025,3600.0,,No,,NE,"Recently Constructed 4BHK, 2250 Sq.Ft, First Floor Builder Flat With Lift, Available for Rent in New Friends Colony.",builder_floor,0,,LISTING_WITH_SIGNUP,,,300000.0,600000.0,,1,1,,approved,,,3,4bhk,sqft,sqft,0.0,2_5,listings
0.0,c9498bb3-433b-68e0-a555-56cebf473b14,propertydata,1.0,Yes,1.0,,0.0,0,,0.0,Red Girraffe,1.0,0.0,2016-02-25 08:46:00,2016-03-10 11:22:50,0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10503cc2-59ab-6351-1f31-56cebf1fded7,0.0,,0,0.0,0.0,1.0,Red Girraffe,0,RG-0000001163,,,,,,,,,,,,1.0,"^reserved^,^open^",0,0.0,1.0,,1.0,24,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pending,,2016-02-24,24 Hours (Between 09:00 to 19:00),pending,New Delhi,pending,5400.0,,INR,Yes,2016-02-25 08:45:59,2016-05-20 06:13:22,0.0,"A 8 bedroom independent house (ground 2) with a 8 bathrooms and 4 balconies is available for rent in Vasant Vihar. This property includes ACs, cupboards, microwave, gas stove, geysers, piped gas, 24 H security, power backup and a reserved parking space. Also included is a servant room with attached bathroom.",,Red Girraffe,2016-02-25 08:45:59,2016-03-20 15:16:47,0,,,,,,,,,,,,e8b887c3-adab-371b-9669-56cebf4a46a7,Red Girraffe,RG-0000001163,"https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -01 GF, Drawing room.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -01(0) GF, Passage.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -02 GF, Drawing room.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -02(020 GF, Bed room -1.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -03 GF, Bed room -1.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -04 GF, Bath room -1.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -05 GF,  Additional room.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -06 GF, Additional room.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -07 GF,  Kitchen.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -08 GF, Bed room -2.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -09 GF, Bath room -2.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -09(0) GF, Bed room -2.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -10 GF, Bed room -3.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -11 GF, Bed room -3.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -12 GF, Bath room -3.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -13 GF,  Additional Room.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -14 FF,  Drawing room.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -14 FF,  Kitchen.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -15 FF,  Drawing room.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -16 FF, Bed  room -1.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -17 FF, Bed  room -1.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -18 FF, Bath  room -1.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -19 FF, Bed  room -2.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -20 FF, Bed  room -2.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -21 FF, Bath  room -2.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -22 FF, Bed  room -3.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -23 FF, Bed  room -3.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -24 FF, Bath  room -3.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -25 SF, Balcony.jpg","https://storage.googleapis.com/rglistcdn/24feb2016/RG-0000001163/RG-0000001163 -25 SF, Bed room-01.jpg",pending,,Ground_2,marble,c9498bb3-433b-68e0-a555-56cebf473b14,,36.0,,any,Vasant Vihar,28.563616,77.153018,12.0,0.0,,RG-0000001163,4.0,8.0,0,,110057,3600.0,,No,,,"Well Maintained, Park Facing 8BHK, 5400 Sq.Ft Independent House Available for Rent in Vasant Vihar.",independent,0,,LISTING_WITH_SIGNUP,,1) Eight Bed rooms attach bath rooms 2) Unfurnished Property Each floor may provided single 3) With 15 Acs and power backup 4) Car Parking at Reserved 5) Park facing property,300000.0,600000.0,,1,1,,approved,Any,,2,8bhk,sqft,sqft,0.0,5_10,listings
