0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
0.0,16ef1b28-67b3-eb98-ae66-5679580ac934,propertydata,1.0,No,0.0,,0.0,0,,0.0,Red Girraffe,1.0,0.0,2015-12-22 14:05:51,2016-01-04 12:50:31,0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,491fd40f-c651-b01f-b5d2-567958f5f11f,0.0,,0,1.0,1.0,0.0,Administrator,0,RG-0000000572,,,,,,,,,,,,1.0,^open^,0,0.0,0.0,,1.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pending,,2015-12-23,10:00 to 17:00,pending,New Delhi,pending,2100.0,,INR,,2015-12-22 14:05:51,2016-02-01 08:28:26,0.0,"Newly constructed, first floor with lift, 3 bedroom builder flat with 3 bathrooms and 2 balconies is available for rent in New Friends Colony. This unfurnished property includes cupboards, gas stove, geysers, gas pipeline, 24hr security and open parking space. It comes with a servants room with attached bathroom.",,Red Girraffe,2015-12-22 14:05:51,2016-01-07 19:00:01,0,,,,,,,,,,,,311f91f5-7435-c4bb-2093-567958c0105d,Red Girraffe,RG-0000000572,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 1 Drawing cum Dinning area.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 10 Kitchen 1.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 11 Kitchen 1.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 2 Bed Room 1.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 3 Bath Room 1.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 4 Bed Room 2.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 5 Bed Room 2.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 6 Bath Room 2.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 7 Bed Room 3.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 8 Bath Room 3.jpg,https://storage.googleapis.com/rglistcdn/23Dec2015/RG0000000572/RG0000000572- 9 Balcony.jpg,,,,,,,,,,,,,,,,,,,,pending,,1st,^marble^,16ef1b28-67b3-eb98-ae66-5679580ac934,,24.0,^^,^any^,New Friends Colony,28.56993,77.269141,12.0,15000.0,,RG-0000000572,2.0,3.0,0,monthly,110025,2700.0,2016-02-1,No,,,"Newly Constructed, Well Maintained, 3BHK, 2100 Sq.Ft, First Floor with lift, Builder Flat, Available for Rent in New Friends Colony.",builder_floor,0,,,,"1) 3 Bed Rooms with attach
    3 Bath Rooms",100000.0,300000.0,,1,1,,approved,Any,,3,3bhk,sqft,sqft,,0_2,listings
0.0,9b5b7b57-e68c-7574-fcc1-56a9bf472f84,propertydata,1.0,No,1.0,,1.0,0,,0.0,Red Girraffe,1.0,1.0,2016-01-28 07:15:04,2016-02-29 13:03:15,0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,dbdbeefb-bd0d-28b7-073f-56a9bfbb06bf,0.0,,0,0.0,0.0,0.0,Red Girraffe,0,RG-0000000950,,,,,,,,,,,,1.0,"^reserved^,^open^",0,0.0,0.0,,0.0,0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,pending,,2016-02-18,24 Hours (Between 09:00 to 19:00),pending,New Delhi,pending,1800.0,,INR,Yes,2016-01-28 07:15:04,2016-05-20 06:12:57,0.0,"A 4 bedroom independent house with 4 bathrooms and 2 balconies is available for rent in Gurgaon. This property includes beds, TVs, ACs, fridge, washing machine, inverter, curtains, cupboards, sofa, dining table, microwave, water purifier, gas stove, geysers, power backup, and a reserved parking space. It comes with a servant room with attached bathroom.",,Red Girraffe,2016-01-28 07:15:04,2016-03-07 09:22:50,0,,,,,,,,,,,,bca29130-6076-6b36-2209-56a9bf85b01d,Red Girraffe,RG-0000000950,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 01 Drawing Room.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 02 Drawing Room.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 03 Kitchen.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 04 Kitchen.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 05 Bedroom-1.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 06 Loby.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 07 Bedroom-1.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 08 Bedroom-1.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 09 Bedroom-1.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 10 Bathroom-1.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 11 Bathroom-1.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 12 Bathroom-2.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 13 Bedroom-2.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 14 Bedroom-2.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 15 Bedroom-2.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 16 Bedroom-3.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 17 Bedroom-3.jpg,https://storage.googleapis.com/rglistcdn/18feb/RG-0000000950/RG-0000000950- 18 Bedroom-3.jpg,,,,,,,,,,,,,pending,,Ground,marble wooden,9b5b7b57-e68c-7574-fcc1-56a9bf472f84,,24.0,,any,Defence Colony,28.567895,77.227231,12.0,0.0,,RG-0000000950,0.0,3.0,0,,110024,2925.0,,No,,,"Beautifully Maintained, Fully Furnished 4BHK, 2800 Sq.Ft Independent House Available for Rent in Gurgaon.",builder_floor,0,,LISTING_WITH_SIGNUP,,1)Three Bed rooms attach bath rooms Independent house 2)Semifurnished Property  With 4 Acs 3)  Without Power backup 4) Car Parking at Reserved 5) Beautiful maintane property,135000.0,270000.0,,1,1,,approved,Any,,2,3bhk,sqft,sqft,0.0,5_10,listings
0.0,575ac88c-cbbf-9fcb-c087-56790eba32cc,propertydata,1.0,Yes,1.0,,1.0,0,,0.0,Red Girraffe,1.0,0.0,2015-12-22 08:46:59,2015-12-28 12:15:44,0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9d900f1c-317c-ec07-9a13-56790e74e8d0,0.0,,0,0.0,0.0,0.0,Administrator,0,RG-0000000562,,,,,,,,,,,,1.0,^reserved^,0,0.0,0.0,,0.0,,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,pending,,2015-12-22,10:00 to 17:00,pending,New Delhi,pending,3200.0,,INR,,2015-12-22 08:46:59,2016-02-01 08:29:06,0.0,"Well maintained, ground floor, 3 bedroom builder flat with 3 bathrooms is available for rent in New Friends Colony. This unfurnished property includes bed, ACs, cupboards, water purifier, geysers, gas pipeline and reserved parking space. It comes with a servants room with attached bathroom.",,Red Girraffe,2015-12-22 08:46:59,2016-01-07 18:59:53,0,,,,,,,,,,,,7b110000-640a-bbff-d25b-56790e533695,Red Girraffe,RG-0000000562,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 1 Drawing cum Dinning area 1.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 10 Bath Room 3.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 11 Kitchen 1.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 12 Kitchen 1.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 2 Drawing cum Dinning area 1.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 3 Lobby.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 4 Bed Room 1.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 5 Bed Room 2.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 6 Bed Room 3.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 7 Bed Room 3.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 8 Bath Room 1.jpg,https://storage.googleapis.com/rglistcdn/22Dec2015/RG0000000562/RG0000000562- 9 Bath Room 2.jpg,,,,,,,,,,,,,,,,,,,pending,,Ground,^marble^,575ac88c-cbbf-9fcb-c087-56790eba32cc,,12.0,^^,^any^,New Friends Colony,28.567496,77.270602,12.0,0.0,,RG-0000000562,0.0,3.0,0,,110025,4500.0,2016-02-1,no,,,"Well Maintained, 3BHK, 3200 Sq.Ft, Ground Floor, Builder Flat, Available for Rent in New Friends Colony.",builder_floor,0,,,,"1) 3 Bed Rooms with attach
    3 Bath Rooms
2) 7 ACs and 1Double 
    Bed Room",100000.0,200000,,1,1,,approved,Any,,2,3bhk,sqft,sqft,,10_,listings
0.0,60bb6e41-c981-72a1-f14e-564c70dfa1c3,propertydata,1.0,Yes,1.0,,0.0,0,,0.0,Red Girraffe,1.0,0.0,18/11/2015 18:06,03/12/2015 12:19,0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6d80072b-56fb-111d-2af5-564c7012876a,0.0,,1,1.0,1.0,1.0,Administrator,0,RG-0000000102,,,,,,,,,,,,1.0,^reserved^,0,0.0,1.0,,1.0,24,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,pending,,2015-11-23,10:00 to 17:00,pending,New Delhi,pending,2800.0,,INR,,2015-11-18 12:36:18,2016-04-11 04:59:06,0.0,"A recently constructed 4 BHK builder floor is available for rent in Panchsheel Park). It comes with 5 bathrooms,5 balconies along with a well maintained terrace garden. This property comes equipped with ACs,fridge,cupboards, microwave,dishwasher, water purifier, gas stove and geysers. The building floors are accessible through a lift. This property comes with a reserved parking spot,piped gas, 24 hour security and power backup.The property also includes a servants room with attached bathroom.",,Red Girraffe,18/11/2015 18:06,11/04/2016 10:25,0,,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,27e394bd-ee39-0199-f75d-564c70712ab1,Administrator,RG-0000000102,,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 10 Kitchen.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 11 bed room 1.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 12 bed room 2.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 13 bed room 3.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 14 bed room 4.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 15 Lobby.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 16 Bath Room - 1.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 17 Bath Room - 1.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 18 Bath Room -2.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 19 Bath Room - 2.jpg,,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 20 Bath Room - 3.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 21 Bath Room - 4.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 22 Bath Room -4.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 23 Terrace Garden.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 24 Terrace Garden.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 25 Terrace Garden with separate Bath Room.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 26 At Terrace Bar.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 3  Floor Entrance.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 4 Drawing Room.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 5 Drawing Room.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 6 Passage.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 7 Kitchen.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 8 Kitchen.jpg,https://storage.googleapis.com/rglistcdn/RG0000000102/RG0000000102 - 9 Store room cum ADJ.jpg,http://,http://,http://,http://,pending,,3rd,marble wooden,60bb6e41-c981-72a1-f14e-564c70dfa1c3,,24.0,,bank_lease company_lease embassy_lease,Panchsheel Park,28.542814,77.212153,12.0,4000.0,,RG-0000000102,5.0,5.0,0,monthly,110017,4500.0,,,,,"Recently Constructed, Well Maintained, Ready to Move in 4 BHK, 2800 Sq. Ft.,Third Floor Builder Flat Available for Rent in Panchsheel Park",builder_floor,0,,,,"1) Extra Feature - Well Maintain Terrace Garden with this Property 
 2) Prefer Foreigners as tenants",250000.0,500000,,1,1,,approved,Any,,3,4bhk,sqft,sqft,0.0,2_5,listings
0.0,52547d20-9b5e-3094-cbea-56740b74540c,propertydata,1.0,No,1.0,,1.0,0,,0.0,Red Girraffe,1.0,1.0,18/12/2015 19:06,21/12/2015 11:29,0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,d2fac8c9-dd9b-cf4b-82e1-56740b429579,0.0,,0,0.0,1.0,1.0,Administrator,0,RG-0000000500,,,,,,,,,,,,1.0,^open^,0,0.0,0.0,,0.0,0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,pending,,2015-12-15,10:00 to 17:00,pending,New Delhi,pending,1050.0,,INR,Yes,2015-12-18 13:36:54,2016-04-20 07:22:03,0.0,"A fully furnished, first floor, 2BHK,1050 sq ft builder flat with 2 attached bathrooms and a balcony; suitable for a foreigner is available for rent in East of Kailash.The builder flat includes eds,TVs,AC,fridge,washing machine,curtains,cupboards,sofa, dining table, microwave, water purifier,gas stove,geysers & ample parking.",,Red Girraffe,18/12/2015 19:06,20/04/2016 12:51,0,,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,bf9d6730-414f-1f63-8829-56740b1d4240,Administrator,RG-0000000500,,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A- 10 Kitchen 1.jpg,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A- 11 Kitchen 1.jpg,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A- 2 Drawing Room 1.jpg,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A- 3 Dinning area 1.jpg,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A- 4 Bed Room 1.jpg,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A- 5 Bed Room 2.jpg,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A- 6 Bed Room 2.jpg,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A- 7 Bath Room 1.jpg,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A- 8 Bath Room 1.jpg,https://storage.googleapis.com/rglistcdn/15Dec2015/RG0000000449A/RG0000000449A-9 Bath Room 2.jpg,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,http://,pending,,1st,marble,52547d20-9b5e-3094-cbea-56740b74540c,,24.0,foreigner_employees,bank_lease company_lease embassy_lease,East of Kailash,28.558096,77.241284,12.0,500.0,,RG-0000000500,1.0,2.0,0,monthly,110065,1125.0,,,,,"A Fully Furnished,2BHK, 1050 Sq.Ft,FirstFloor, Builder Flat Available for Rent in East of Kailash.",builder_floor,0,,LISTING_WHEN_LOGGEDIN,,"1) 2 Bed Rooms with  attach 
    2 Bath Rooms 
2) Semi Furnished floor",52000.0,156000,,0,0,,approved,Any,,2,2bhk,sqft,sqft,0.0,10_,listings
