,pid,name,covered_area,lease_duration_expected,lat,lon,lock_in_period,maintenance_charges,no_of_balconies,no_of_bathrooms,plot_area,rent_expected,security_deposit,type_of_accomodation,total_floors,floor,servant_room,servant_room_with_toilet
160,95febe15-8246-e489-b2cf-56a0ac73b8c3,RG-0000000910,7500,24,28.503322,77.100569,12,40000,4,6,8100,350000,1000000,5,12,10,1,1
201,80744ec4-079c-5855-b043-5639ef972233,Rajeev behl,5000,24,28.501527,77.099594,12,35000,3,5,6750,250000,500000,4,11,2,1,1
